chunk,Question,Option_A,Option_B,Option_C,Option_D,Answer_Key
"الدرس ١-١:

الربط مع الحياة: فكر في مخلوقات حية أو مخلوقات كانت حية. فكر في
البكتيريا التي تعيش في أمعائك، وفي سمك القرش الأبيض في المحيط، وفي حقل
القمح، وفي الديناصور الذي انقرض. وهذه المخلوقات تختلف بعضها عن بعض في
التركيب وفي الوظيفة، ولكن بينها كثيراً من الصفات المشتركة التي أودعها
الله سبحانه وتعالى فيها. ترى، ما الصفات المشتركة بينها؟ ومن الذي
اكتشفها؟

علم الحياة The Science of Life",ما هي الصفات المشتركة التي يمكن أن نجدها في المخلوقات الحية المختلفة؟,التنفس والتكاثر,القدرة على الحركة,التغذية والتمثيل الغذائي,جميع ما سبق,D
"الدرس ١-١:

الربط مع الحياة: فكر في مخلوقات حية أو مخلوقات كانت حية. فكر في
البكتيريا التي تعيش في أمعائك، وفي سمك القرش الأبيض في المحيط، وفي حقل
القمح، وفي الديناصور الذي انقرض. وهذه المخلوقات تختلف بعضها عن بعض في
التركيب وفي الوظيفة، ولكن بينها كثيراً من الصفات المشتركة التي أودعها
الله سبحانه وتعالى فيها. ترى، ما الصفات المشتركة بينها؟ ومن الذي
اكتشفها؟

علم الحياة The Science of Life",من الذي اكتشف الصفات المشتركة بين المخلوقات الحية؟,داروين,أينشتاين,أرسطو,لا يوجد شخص محدد,D
"الدرس ١-١:

الربط مع الحياة: فكر في مخلوقات حية أو مخلوقات كانت حية. فكر في
البكتيريا التي تعيش في أمعائك، وفي سمك القرش الأبيض في المحيط، وفي حقل
القمح، وفي الديناصور الذي انقرض. وهذه المخلوقات تختلف بعضها عن بعض في
التركيب وفي الوظيفة، ولكن بينها كثيراً من الصفات المشتركة التي أودعها
الله سبحانه وتعالى فيها. ترى، ما الصفات المشتركة بينها؟ ومن الذي
اكتشفها؟

علم الحياة The Science of Life",ما هو نوع المخلوقات التي تم ذكرها في الدرس كمثال على التنوع البيولوجي؟,البكتيريا والأسماك والديناصورات,الطيور والزواحف والنباتات,الحيوانات الأليفة والبرية,الفطريات والطحالب,A
"عندما ندرس المخلوقات الحية، أو نطرح أسئلة عن كيفية تفاعلها مع بيئتها
فإننا نتعلم شيئاً في علم الأحياء Biology. فكل تساؤل عن الحياة التي أوجدها
الله عز وجل على الأرض هو دافع لنا للدراسة علم الأحياء.

يُعنى علم الأحياء بدراسة أنواع الحياة، وتاريخها، وكل ما كان حياً يوماً ما،
وتركيب المخلوقات الحية، وكيف تقوم بوظائفها، وكيف يتفاعل بعضها مع بعض.

ماذا يعمل علماء الأحياء؟",ما هو الموضوع الرئيسي الذي يهتم به علم الأحياء؟,دراسة الكواكب والنجوم,دراسة أنواع الحياة وتاريخها,دراسة الظواهر الطبيعية,دراسة التفاعلات الكيميائية,B
"عندما ندرس المخلوقات الحية، أو نطرح أسئلة عن كيفية تفاعلها مع بيئتها
فإننا نتعلم شيئاً في علم الأحياء Biology. فكل تساؤل عن الحياة التي أوجدها
الله عز وجل على الأرض هو دافع لنا للدراسة علم الأحياء.

يُعنى علم الأحياء بدراسة أنواع الحياة، وتاريخها، وكل ما كان حياً يوماً ما،
وتركيب المخلوقات الحية، وكيف تقوم بوظائفها، وكيف يتفاعل بعضها مع بعض.

ماذا يعمل علماء الأحياء؟",ما هو الدافع الرئيسي لدراسة علم الأحياء؟,التعلم عن الفضاء,طرح أسئلة عن الحياة التي أوجدها الله,فهم قوانين الفيزياء,دراسة التاريخ البشري,B
"عندما ندرس المخلوقات الحية، أو نطرح أسئلة عن كيفية تفاعلها مع بيئتها
فإننا نتعلم شيئاً في علم الأحياء Biology. فكل تساؤل عن الحياة التي أوجدها
الله عز وجل على الأرض هو دافع لنا للدراسة علم الأحياء.

يُعنى علم الأحياء بدراسة أنواع الحياة، وتاريخها، وكل ما كان حياً يوماً ما،
وتركيب المخلوقات الحية، وكيف تقوم بوظائفها، وكيف يتفاعل بعضها مع بعض.

ماذا يعمل علماء الأحياء؟",ما هي الوظيفة الرئيسية لعلماء الأحياء؟,دراسة الفضاء الخارجي,تحليل البيانات الاقتصادية,دراسة تركيب المخلوقات الحية وكيفية تفاعلها,تدريس المواد الرياضية,C
"تخيل أنك أول من اكتشف الخلايا ويشاهدها تحت المجهر، أو وجد أول أحفورة
ديناصور تُبيّن أن لهذا المخلوق ريشاً، أو أول من درس الطرائق التي تحصل بها
سمكة المنجم على طعامها الشكل 1-1. ترى، كيف يكون شعورك عندها؟ وما الذي
ستفكر فيه؟ وما الأسئلة التي ستطرحها على نفسك؟ إن علماء الأحياء يكتشفون
ويبحثون عن إجابات من خلال إجراء بحوثٍ مختبرية وميدانية. وفي هذا الكتاب،
سوف تكتشف ما يقوم به علماء الأحياء، كما تتعرف على بعض المهن المرتبطة مع
علم الأحياء.

دراسة تنوع الحياة",ما هي الطريقة التي يعتمد عليها علماء الأحياء لاكتشاف المعلومات الجديدة؟,إجراء بحوث مختبرية وميدانية,الاعتماد على الكتب فقط,التجارب العشوائية,التواصل مع علماء آخرين فقط,A
"تخيل أنك أول من اكتشف الخلايا ويشاهدها تحت المجهر، أو وجد أول أحفورة
ديناصور تُبيّن أن لهذا المخلوق ريشاً، أو أول من درس الطرائق التي تحصل بها
سمكة المنجم على طعامها الشكل 1-1. ترى، كيف يكون شعورك عندها؟ وما الذي
ستفكر فيه؟ وما الأسئلة التي ستطرحها على نفسك؟ إن علماء الأحياء يكتشفون
ويبحثون عن إجابات من خلال إجراء بحوثٍ مختبرية وميدانية. وفي هذا الكتاب،
سوف تكتشف ما يقوم به علماء الأحياء، كما تتعرف على بعض المهن المرتبطة مع
علم الأحياء.

دراسة تنوع الحياة",ما الذي يمكن أن يكتشفه علماء الأحياء من خلال دراستهم؟,تاريخ الديناصورات فقط,تنوع الحياة والأنظمة البيئية,التحليل الكيميائي فقط,الخصائص الفيزيائية للأرض,B
"تخيل أنك أول من اكتشف الخلايا ويشاهدها تحت المجهر، أو وجد أول أحفورة
ديناصور تُبيّن أن لهذا المخلوق ريشاً، أو أول من درس الطرائق التي تحصل بها
سمكة المنجم على طعامها الشكل 1-1. ترى، كيف يكون شعورك عندها؟ وما الذي
ستفكر فيه؟ وما الأسئلة التي ستطرحها على نفسك؟ إن علماء الأحياء يكتشفون
ويبحثون عن إجابات من خلال إجراء بحوثٍ مختبرية وميدانية. وفي هذا الكتاب،
سوف تكتشف ما يقوم به علماء الأحياء، كما تتعرف على بعض المهن المرتبطة مع
علم الأحياء.

دراسة تنوع الحياة",ما هو الشعور الذي قد يختبره الشخص عند اكتشاف الخلايا تحت المجهر؟,الملل,الدهشة والفضول,الخوف,الارتباك,B
"دراسة تنوع الحياة

درس العالم المسلم ابن سينا (371-428 هـ) النباتات، ووصفها وصفاً دقيقاً،
مقارناً كل نبتة بما يشبهها، وأورد تراكيبها الأساسية من جذور وساق وأوراق
وأزهار وثمار. أما في علم الحيوان فقد وصف أنواعاً مختلفة من الطيور وسائر
الحيوانات، وهذه الدراسات وغيرها أسهمت في فهم أعمق للنباتات والحيوانات،
وساعدت علماء الأحياء على معرفة خصائص المخلوقات الحية وصفاتها.

البحث في الأمراض",ما هي العناصر الأساسية التي درسها ابن سينا في النباتات؟,الجذور والساق والأوراق والأزهار والثمار,الألوان والأشكال والأحجام,الحرارة والرطوبة والضوء,الحشرات والديدان والفطريات,A
